classification,closed pnl,closed pnl,size usd,execution price,value
,mean,median,mean,mean,mean
Extreme Fear,26.578118707616706,0.0,5646.3960748020745,7861.5219285285475,20.282664482664483
Extreme Greed,120.89325779955436,0.5262485,2706.635852049911,4377.843317834101,79.35204991087345
Fear,86.68125820545242,0.0,7908.681044345039,13640.6241452493,35.09781268711916
Greed,78.67786763313745,0.0,4733.657064031137,11146.736062118753,68.94680607494467
Neutral,41.957141846510495,0.0,5186.8956124938995,15196.988810992987,49.68289409468033
